genre,title,price,discount,bonus,cover,year,publisher,rating,reviews,stock
Фантастика,"Франкенштейн, или Современный Прометей",1 887 ₸,No discount,+19,мягкая обложка,2015,АСТ,4.6,48 отзывов,На складе
Фантастика,Искра вечного пламени,6 491 ₸,No discount,+65,твердый переплет,2025,Кислород,5.0,4 отзыва,На складе
Фантастика,Четыре жизни Хелен Ламберт,3 919 ₸,-20%,+39,мягкая обложка,2026,Эксмо,4.7,36 отзывов,На складе
Фантастика,Маленькая злая книга 4,3 919 ₸,-20%,+39,твердый переплет,2022,Эксмо,5.0,37 отзывов,На складе
Фантастика,Игра Джералда,3 637 ₸,No discount,+36,твердый переплет,2014,АСТ,4.6,41 отзыв,На складе
Фантастика,Королевство шипов и роз,5 476 ₸,-20%,+55,суперобложка,2023,Азбука,4.9,67 отзывов,На складе
Фантастика,Неночь,7 188 ₸,No discount,+72,твердый переплет,2018,АСТ,4.7,53 отзыва,На складе
Фантастика,Темная башня,5 242 ₸,No discount,+52,твердый переплет,2013,АСТ,4.7,9 отзывов,На складе
Фантастика,Амур и Психея. Повелители сердец,2 645 ₸,-25%,+26,мягкая обложка,2025,Clever,4.9,70 отзывов,На складе
Фантастика,Пир стервятников,11 066 ₸,No discount,+111,твердый переплет,2012,Астрель,5.0,12 отзывов,На складе
Фантастика,Vita Nostra,3 919 ₸,-20%,+39,мягкая обложка,2023,Эксмо,4.7,14 отзывов,На складе
Фантастика,Однажды разбитое сердце,5 134 ₸,-20%,+51,твердый переплет,2022,Freedom,5.0,9 отзывов,На складе
Романы,Граф Монте-Кристо. Комплект из 2 книг,7 218 ₸,-20%,+72,твердый переплет,2020,Эксмо,4.9,29 отзывов,На складе
Романы,"Комплект книг Анны Джейн «По осколкам твоего сердца», «Твое сердце будет разбито»",4 496 ₸,-25%,+45,твердый переплет,2024,Clever,4.8,5 отзывов,На складе
Романы,Сильнее ветра. Горизонт свободы,4 652 ₸,No discount,+47,мягкая обложка,2025,АСТ,5.0,6 отзывов,На складе
Романы,Лунная тропа,2 014 ₸,-20%,+20,зарубежный романтический бестселлер. романы сары джио (обложка),2021,Эксмо,4.9,56 отзывов,На складе
Романы,Убежище,5 876 ₸,No discount,+59,твердый переплет,2022,АСТ,5.0,35 отзывов,На складе
Романы,Искра жизни,2 879 ₸,No discount,+29,мягкая обложка,2015,АСТ,4.9,53 отзыва,На складе
Романы,Изменить 6-го,8 164 ₸,-15%,+82,мягкая обложка,2024,Азбука,4.9,27 отзывов,На складе
Романы,Тайна повесы,4 060 ₸,No discount,+41,твердый переплет,2022,АСТ,4.8,20 отзывов,На складе
Романы,Импринт,4 356 ₸,No discount,+44,твердый переплет,2024,АСТ,4.9,21 отзыв,На складе
Романы,Жестокий век,6 938 ₸,-20%,+69,твердый переплет,2023,Азбука,4.8,18 отзывов,На складе
Романы,Твое сердце будет разбито,3 611 ₸,-20%,+36,твердый переплет,2022,Clever,4.8,219 отзывов,На складе
Романы,Испорченный король,4 821 ₸,No discount,+48,твердый переплет,2024,АСТ,4.8,40 отзывов,На складе
Романы,Разрушительная ложь,4 356 ₸,No discount,+44,мягкая обложка,2024,Inspiria,4.6,48 отзывов,На складе
Романы,Дочь священника,2 133 ₸,No discount,+21,мягкая обложка,2022,АСТ,4.8,30 отзывов,На складе
Романы,Охотясь на Аделин. Специальное издание,7 775 ₸,No discount,+78,твердый переплет,2024,АСТ,4.9,21 отзыв,На складе
Романы,Испорченный,5 538 ₸,No discount,+55,твердый переплет,2022,АСТ,4.7,62 отзыва,На складе
Романы,Тошнота,2 301 ₸,No discount,+23,мягкая обложка,2013,АСТ,4.8,39 отзывов,На складе
Романы,Сёгун,10 976 ₸,-15%,+110,твердый переплет,2022,Иностранка,4.7,23 отзыва,На складе
Романы,Поющие в терновнике,4 229 ₸,No discount,+42,твердый переплет,2014,АСТ,4.9,65 отзывов,На складе
Романы,Война и мир. Книга 1,2 239 ₸,No discount,+22,мягкая обложка,2015,АСТ,4.8,25 отзывов,На складе
Романы,Запрети любить,4 923 ₸,-15%,+49,твердый переплет,2025,Clever,5.0,8 отзывов,На складе
Романы,По осколкам твоего сердца,4 215 ₸,-25%,+42,твердый переплет,2025,Clever,4.8,6 отзывов,На складе
Романы,Алхимик,4 948 ₸,No discount,+49,твердый переплет,2019,АСТ,4.8,37 отзывов,На складе
Романы,"Человек, который смеется",2 133 ₸,No discount,+21,мягкая обложка,2022,АСТ,4.7,117 отзывов,На складе
Романы,"Разреши любить. Навсегда со мной, навсегда моя",2 641 ₸,-25%,+26,твердый переплет,2025,Clever,4.9,18 отзывов,На складе
Романы,Где властвует любовь,4 060 ₸,No discount,+41,твердый переплет,2022,АСТ,4.9,45 отзывов,На складе
Романы,Разрушительная любовь,4 356 ₸,No discount,+44,мягкая обложка,2023,Inspiria,4.6,134 отзыва,На складе
Романы,Цветы для Элджернона,3 388 ₸,-20%,+34,твердый переплет,2022,Эксклюзивная фантастика,4.9,240 отзывов,На складе
Романы,Али и Нино,2 135 ₸,-20%,+21,the big book (мягкая обложка),2022,Азбука,4.6,37 отзывов,На складе
Романы,Разрушительная игра,4 356 ₸,No discount,+44,мягкая обложка,2023,Inspiria,4.7,94 отзыва,На складе
Романы,Коварная ложь,8 594 ₸,No discount,+86,твердый переплет,2025,АСТ,5.0,3 отзыва,На складе
Романы,Непокорная невеста,2 639 ₸,-35%,+26,твердый переплет,2024,АСТ,5.0,3 отзыва,На складе
Романы,Узорный покров,2 444 ₸,No discount,+24,мягкая обложка,2016,АСТ,5.0,43 отзыва,На складе
Романы,Кровавый меридиан,2 280 ₸,-20%,+23,the big book (мягкая обложка),2023,Азбука,4.8,40 отзывов,На складе
Романы,"Махаббат, қызық мол жылдар",1 950 ₸,-20%,+20,мягкая обложка,2021,фолиант,4.7,29 отзывов,На складе
Романы,Граф и гувернантка,4 060 ₸,No discount,+41,твердый переплет,2025,АСТ,5.0,3 отзыва,На складе
Романы,Почему мы болеем и как это остановить,2 969 ₸,-40%,+30,твердый переплет,2018,Эксмо,Not rated,0,На складе
Романы,Стигмалион,4 948 ₸,No discount,+49,твердый переплет,2018,АСТ,4.8,178 отзывов,На складе
Романы,Таис Афинская,2 100 ₸,-15%,+21,твердый переплет,2021,Азбука,4.7,41 отзыв,На складе
Романы,Граф Монте-Кристо. Книга 1,2 189 ₸,No discount,+22,твердый переплет,2021,АСТ,4.9,42 отзыва,На складе
Романы,Проклятые короли,7 408 ₸,-25%,+74,твердый переплет,2023,Иностранка,5.0,9 отзывов,На складе
Романы,Чудо любви,2 301 ₸,No discount,+23,мягкая обложка,2022,АСТ,5.0,36 отзывов,На складе
Романы,Буквы Севера. Последний аккорд Севера,4 652 ₸,No discount,+47,твердый переплет,2025,Freedom,5.0,2 отзыва,На складе
Романы,Ночь в Лиссабоне,4 229 ₸,No discount,+42,твердый переплет,2019,АСТ,5.0,28 отзывов,На складе
Романы,Спеши любить,2 069 ₸,No discount,+21,мягкая обложка,2022,АСТ,4.8,100 отзывов,На складе
Романы,Баллада о проклятой любви (#2),5 134 ₸,-20%,+51,твердый переплет,2025,Freedom,5.0,7 отзывов,На складе
Романы,Мара и Морок. 500 лет назад,4 186 ₸,-20%,+42,твердый переплет,2021,Эксмо,4.9,50 отзывов,На складе
Романы,"Там, где живет любовь",3 653 ₸,-20%,+37,твердый переплет,2020,Эксмо,4.8,60 отзывов,На складе
Романы,Чувство и чувствительность,1 816 ₸,No discount,+18,мягкая обложка,2016,АСТ,4.8,68 отзывов,На складе
