title,publisher,year,year_missing,cover,cover_type,price,discount,original_price,savings_tenge,price_bucket,bonus,price_per_bonus,rating,review_count,popularity_score,stock,stock_status,genre,discount_bin,is_old,age_category
Легендо,Freedom,2022,False,твердый переплет,Hardcover,5706,0.0,5706.0,0.0,Premium (5-8k),57,100.11,4.7,29,3.1971255387624264,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Последнее желание. Меч предназначения,Аст,2020,False,твердый переплет,Hardcover,4812,25.0,6416.0,1604.0,Mid (3-5k),48,100.25,5.0,33,3.5263605246161616,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Вавилон. Сокрытая история,Fanzon. fantasy world. большой покет с клапанами,2024,False,мягкая обложка,Paperback,5412,0.0,5412.0,0.0,Premium (5-8k),54,100.22,4.9,11,2.4352085167922404,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Во главе обмана,Эксмо,2026,False,твердый переплет,Hardcover,4386,20.0,5482.0,1096.0,Mid (3-5k),44,99.68,,0,,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Морана и Тень. Плетущая,Черным-бело,2025,False,твердый переплет,Hardcover,4525,0.0,4525.0,0.0,Mid (3-5k),45,100.56,5.0,50,3.9318256327243257,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Куджо,Аст,2025,False,твердый переплет,Hardcover,3933,0.0,3933.0,0.0,Mid (3-5k),39,100.85,4.6,19,2.7560736916696715,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Мессия Дюны. Дети Дюны,Аст,2024,False,твердый переплет,Hardcover,10375,0.0,10375.0,0.0,Luxury (8k+),104,99.76,5.0,6,1.9459101490553132,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Перси Джексон и похититель молний,Эксмо,2022,False,твердый переплет,Hardcover,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,5.0,15,2.772588722239781,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Песнь Кали,Аст,2025,False,мягкая обложка,Paperback,2189,0.0,2189.0,0.0,Economy (1.5-3k),22,99.5,5.0,11,2.4849066497880004,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Баллада о змеях и певчих птицах,Аст,2020,False,твердый переплет,Hardcover,4948,0.0,4948.0,0.0,Mid (3-5k),49,100.98,4.9,62,4.060272031863702,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Король в жёлтом,Аст,2024,False,мягкая обложка,Paperback,1816,0.0,1816.0,0.0,Economy (1.5-3k),18,100.89,4.6,8,2.021446611149322,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Демон из Пустоши. Колдун Российской империи,Эксмо,2024,False,твердый переплет,Hardcover,4186,20.0,5232.0,1046.0,Mid (3-5k),42,99.67,5.0,29,3.4011973816621555,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Принц Ардена,Freedom,2023,False,твердый переплет,Hardcover,4603,20.0,5754.0,1151.0,Mid (3-5k),46,100.07,4.8,68,4.064742244413369,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Таймлесс. Сапфировая книга,Робинс,2021,False,твердый переплет,Hardcover,3022,20.0,3778.0,756.0,Mid (3-5k),30,100.73,4.8,44,3.654395990179507,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Дюна,Аст,2023,False,твердый переплет,Hardcover,9781,0.0,9781.0,0.0,Luxury (8k+),98,99.81,5.0,62,4.143134726391533,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Сага о Видящих. Книги 1 и 2. Королевский убийца,Азбука,2017,False,твердый переплет,Hardcover,9014,25.0,12019.0,3005.0,Luxury (8k+),90,100.16,4.9,23,3.114492753740987,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Таймлесс. Изумрудная книга,Робинс,2020,False,твердый переплет,Hardcover,3524,20.0,4405.0,881.0,Mid (3-5k),35,100.69,4.9,42,3.6859761133796916,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Мобильник,Астрель,2018,False,твердый переплет,Hardcover,4356,0.0,4356.0,0.0,Mid (3-5k),44,99.0,4.9,7,2.037852710846239,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Худеющий,Аст,2022,False,мягкая обложка,Paperback,2301,0.0,2301.0,0.0,Economy (1.5-3k),23,100.04,4.6,30,3.1592682281263342,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
